"r"	"s"	"measurementID"	"pvalues"	"overallPvalues"	"monotonic"	"dfaSuccessRate"	"wilkesLambda"	"PillaiPval"	"HotellingPval"	"RoyPval"	"dfaID"	"nvars"
0	1	3638	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	4367	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	2003	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	5671	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	1124	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	8618	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	1204	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	8849	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	5845	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	9905	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	7533	-999	-999	FALSE	0.127659574468085	0.969508234869805	0.9602790695875	0.977107194929383	0.594632985143689	1	11
0	1	330	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	5387	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	5789	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	8470	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	5291	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	6961	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	1001	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	5778	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	1004	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	7005	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	9346	-999	-999	FALSE	0.25531914893617	0.474633604628433	0.453671888854828	0.497981824176257	0.0807076126642655	2	11
0	1	6833	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	1467	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	7146	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	5193	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	4395	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	1863	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	6323	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	2516	-999	-999	FALSE	0.212765957446809	0.396884079610718	0.438975601104563	0.357829379430778	0.0180949194760338	3	8
0	1	1189	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	8279	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	3333	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	9095	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	6841	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	3256	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	1702	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	4786	-999	-999	FALSE	0.25531914893617	0.918034857407857	0.913350650359059	0.923081825788468	0.254065939807944	4	8
0	1	6218	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	3576	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	1975	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	5327	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	8824	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	4363	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	3558	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	989	-999	-999	FALSE	0.127659574468085	0.860263334249198	0.844221064468197	0.876328014729608	0.356439024285733	5	8
0	1	5669	-999	-999	FALSE	0.191489361702128	0.452121056501957	0.480339791599245	0.435697563920954	0.0642953380744843	6	10
0	1	8382	-999	-999	FALSE	0.191489361702128	0.452121056501957	0.480339791599245	0.435697563920954	0.0642953380744843	6	10
0	1	2829	-999	-999	FALSE	0.191489361702128	0.452121056501957	0.480339791599245	0.435697563920954	0.0642953380744843	6	10
0	1	6710	-999	-999	FALSE	0.191489361702128	0.452121056501957	0.480339791599245	0.435697563920954	0.0642953380744843	6	10
