"simGroup"	"isCrossvalidated"	"isRandomizedHabs"	"BM_correlation"	"proportionOfDFAsSignificant"	"meanDFASuccessRate"	"sdDFASuccessRate"	"countSigPGLS"	"countSigPGLSBonferroni"	"countSigPGLSHolm"	"countSigPGLSfdr"
"0R-CorrectBodySize"	TRUE	TRUE	"r = 0 phylo"	0.0565	25.0744680851064	6.99323108939553	1	1	1	1
"0R-CorrectBodySize"	TRUE	FALSE	"r = 0 phylo"	0.3925	34.4436170212766	7.38852488005783	1	1	1	1
"0R-CorrectBodySize"	FALSE	TRUE	"r = 0 phylo"	0.054	24.5946808510638	6.83890342841086	0.080131781709974	0.0159413358839471	0.0160476114565067	0.0192358786332961
"0R-CorrectBodySize"	FALSE	FALSE	"r = 0 phylo"	0.384	61.2372340425532	7.40438161930012	0.127656200444022	0.0347288296860133	0.0354688656306163	0.0414948726080981
"0R-DontCorrectBodySize"	TRUE	TRUE	"r = 0 phylo"	0.047	24.8404255319149	6.83688825813708	1	1	1	1
"0R-DontCorrectBodySize"	TRUE	FALSE	"r = 0 phylo"	0.4045	34.5010638297872	7.29012358144657	1	1	1	1
"0R-DontCorrectBodySize"	FALSE	TRUE	"r = 0 phylo"	0.05	25.0265957446809	6.94622133046127	0.0807088715704068	0.0164940749439522	0.0166542115938935	0.0191630191096402
"0R-DontCorrectBodySize"	FALSE	FALSE	"r = 0 phylo"	0.4015	61.331914893617	7.54374881882495	0.12786239216104	0.0341889445095324	0.0345617211630632	0.0427628075407392
"highR-CorrectBodySize"	TRUE	TRUE	"high r"	0.0405	24.7521276595745	6.794625765026	1	1	1	1
"highR-CorrectBodySize"	TRUE	FALSE	"high r"	0.334	33.3925531914894	7.43563794040424	1	1	1	1
"highR-CorrectBodySize"	FALSE	TRUE	"high r"	0.035	25.0659574468085	6.85596184610549	0.0825934893731504	0.0163572773742265	0.016895345708905	0.0205542103847189
"highR-CorrectBodySize"	FALSE	FALSE	"high r"	0.3315	60.7063829787234	7.61285312932332	0.12418405564473	0.0302300695559123	0.0306581059390048	0.0377742108079187
"highR-DontCorrectBodySize"	TRUE	TRUE	"high r"	0.0565	24.8542553191489	6.64154643469209	1	1	1	1
"highR-DontCorrectBodySize"	TRUE	FALSE	"high r"	0.368	33.8127659574468	7.42563135125354	1	1	1	1
"highR-DontCorrectBodySize"	FALSE	TRUE	"high r"	0.0485	25.1744680851064	7.02972867069603	0.0774978650725875	0.0145708795900939	0.0190542271562767	0.038535439795047
"highR-DontCorrectBodySize"	FALSE	FALSE	"high r"	0.3475	60.6627659574468	7.72151462039628	0.00138158244327541	0.000159413358839471	0.000159413358839471	0.000159413358839471
"lowR-CorrectBodySize"	TRUE	TRUE	"low r"	0.056	25.1191489361702	6.96779319290496	1	1	1	1
"lowR-CorrectBodySize"	TRUE	FALSE	"low r"	0.4	34.4223404255319	7.36263217053783	1	1	1	1
"lowR-CorrectBodySize"	FALSE	TRUE	"low r"	0.0455	24.7936170212766	6.91272271469917	0.0773506988564168	0.0129711986446421	0.013130029648454	0.0163595933926302
"lowR-CorrectBodySize"	FALSE	FALSE	"low r"	0.391	61.4542553191489	7.65732944403387	0.128240470762869	0.0336637862482108	0.0342469384509357	0.0407676403541324
"lowR-DontCorrectBodySize"	TRUE	TRUE	"low r"	0.0545	24.8797872340426	6.73180293889603	1	1	1	1
"lowR-DontCorrectBodySize"	TRUE	FALSE	"low r"	0.4615	35.4893617021277	7.50337736215245	1	1	1	1
"lowR-DontCorrectBodySize"	FALSE	TRUE	"low r"	0.046	24.7	6.93219658837422	0.0818522483940043	0.0162740899357602	0.0164346895074946	0.0186295503211991
"lowR-DontCorrectBodySize"	FALSE	FALSE	"low r"	0.44	61.9297872340426	7.76470701243263	0.131875166711123	0.0363296879167778	0.0369165110696186	0.0463590290744198
"NOPHYLOSIGNAL-CorrectBodySize"	TRUE	TRUE	"r = 0 no phylo"	0.058	25.05	6.15860498138641	1	1	1	1
"NOPHYLOSIGNAL-CorrectBodySize"	TRUE	FALSE	"r = 0 no phylo"	0.047	25.4042553191489	7.47519567713558	1	1	1	1
"NOPHYLOSIGNAL-CorrectBodySize"	FALSE	TRUE	"r = 0 no phylo"	0.0545	25.2117021276596	6.17683569058158	0.0740464521627957	0.0133177072235244	0.0134242488813126	0.0155550820370765
"NOPHYLOSIGNAL-CorrectBodySize"	FALSE	FALSE	"r = 0 no phylo"	0.0485	55.4308510638298	7.5407521968682	0.0667230175920545	0.0106186275027735	0.0107242854878757	0.0116223783612447
"NOPHYLOSIGNAL-DontCorrectBodySize"	TRUE	TRUE	"r = 0 no phylo"	0.0535	24.8872340425532	6.24332916906375	1	1	1	1
"NOPHYLOSIGNAL-DontCorrectBodySize"	TRUE	FALSE	"r = 0 no phylo"	0.044	25.4734042553192	7.42026429100734	1	1	1	1
"NOPHYLOSIGNAL-DontCorrectBodySize"	FALSE	TRUE	"r = 0 no phylo"	0.055	24.9776595744681	6.20857378185238	0.0713110839921473	0.0125749456146867	0.0127341221414549	0.014591181620417
"NOPHYLOSIGNAL-DontCorrectBodySize"	FALSE	FALSE	"r = 0 no phylo"	0.0455	55.1968085106383	7.53277461750736	0.0664950664950665	0.011958386958387	0.011958386958387	0.0129236379236379
